GEO_ID,NAME,pop,popblack,pophispanic,poor,poorblack,poorhispanic
06001441302,"Census Tract 4413.02, Alameda County, California",5860,108,584,353,10,5
06001441401,"Census Tract 4414.01, Alameda County, California",7738,101,817,155,29,13
06001441402,"Census Tract 4414.02, Alameda County, California",5450,236,277,149,19,4
06001441501,"Census Tract 4415.01, Alameda County, California",6561,253,602,185,10,8
06001441503,"Census Tract 4415.03, Alameda County, California",7469,117,121,381,0,0
06001441521,"Census Tract 4415.21, Alameda County, California",6010,116,302,161,39,0
06001441522,"Census Tract 4415.22, Alameda County, California",5248,315,574,331,0,81
06001441523,"Census Tract 4415.23, Alameda County, California",4240,128,252,36,0,0
06001441524,"Census Tract 4415.24, Alameda County, California",4136,109,69,36,0,0
06001441525,"Census Tract 4415.25, Alameda County, California",796,12,110,19,0,9
06001441601,"Census Tract 4416.01, Alameda County, California",4783,405,837,122,0,20
06001441602,"Census Tract 4416.02, Alameda County, California",7989,128,1803,186,16,0
06001441701,"Census Tract 4417.01, Alameda County, California",4382,77,1539,1037,26,428
06001441702,"Census Tract 4417.02, Alameda County, California",4574,407,632,328,150,12
06001441800,"Census Tract 4418, Alameda County, California",7661,87,747,741,0,70
06001441921,"Census Tract 4419.21, Alameda County, California",3961,225,1130,84,4,27
06001441923,"Census Tract 4419.23, Alameda County, California",5822,108,812,127,0,0
06001441924,"Census Tract 4419.24, Alameda County, California",7586,167,1015,596,47,93
06001441926,"Census Tract 4419.26, Alameda County, California",4504,212,1351,293,0,81
06001441927,"Census Tract 4419.27, Alameda County, California",4263,143,324,305,0,27
06001441928,"Census Tract 4419.28, Alameda County, California",3774,373,260,219,51,0
06001441929,"Census Tract 4419.29, Alameda County, California",3611,12,265,290,0,0
06001442000,"Census Tract 4420, Alameda County, California",3299,4,442,104,2,25
06001442100,"Census Tract 4421, Alameda County, California",5476,96,60,88,18,26
06001442200,"Census Tract 4422, Alameda County, California",7422,370,307,200,130,0
06001442301,"Census Tract 4423.01, Alameda County, California",5443,207,1087,296,47,39
06001442302,"Census Tract 4423.02, Alameda County, California",6342,221,792,381,41,16
06001442400,"Census Tract 4424, Alameda County, California",6517,232,1274,278,3,26
06001442501,"Census Tract 4425.01, Alameda County, California",3660,16,784,88,0,55
06001442502,"Census Tract 4425.02, Alameda County, California",3799,65,1129,228,0,5
06001442601,"Census Tract 4426.01, Alameda County, California",4033,10,1273,157,10,32
06001442602,"Census Tract 4426.02, Alameda County, California",5113,640,1255,351,278,27
06001442700,"Census Tract 4427, Alameda County, California",3035,131,418,52,0,0
06001442800,"Census Tract 4428, Alameda County, California",2994,104,573,89,0,20
06001442900,"Census Tract 4429, Alameda County, California",8076,289,1225,108,0,35
06001443001,"Census Tract 4430.01, Alameda County, California",2832,131,836,126,6,42
06001443002,"Census Tract 4430.02, Alameda County, California",6932,161,1267,216,14,42
06001443102,"Census Tract 4431.02, Alameda County, California",5019,26,273,151,4,2
06001443103,"Census Tract 4431.03, Alameda County, California",4091,0,116,102,0,0
06001443104,"Census Tract 4431.04, Alameda County, California",5366,149,55,162,13,14
06001443105,"Census Tract 4431.05, Alameda County, California",4784,41,127,194,0,0
06001443200,"Census Tract 4432, Alameda County, California",4157,0,33,62,0,0
06001443301,"Census Tract 4433.01, Alameda County, California",4467,60,404,43,0,0
06001443321,"Census Tract 4433.21, Alameda County, California",3314,114,395,301,55,0
06001443322,"Census Tract 4433.22, Alameda County, California",3284,31,288,132,5,0
06001444100,"Census Tract 4441, Alameda County, California",7667,305,1884,266,0,23
06001444200,"Census Tract 4442, Alameda County, California",7223,38,2150,103,11,39
06001444301,"Census Tract 4443.01, Alameda County, California",3855,206,862,141,16,34
06001444303,"Census Tract 4443.03, Alameda County, California",0,0,0,0,0,0
06001444304,"Census Tract 4443.04, Alameda County, California",5445,240,2160,151,1,61
06001444400,"Census Tract 4444, Alameda County, California",5627,255,3154,351,2,100
06001444500,"Census Tract 4445, Alameda County, California",7511,247,3578,357,54,262
06001444601,"Census Tract 4446.01, Alameda County, California",6095,133,1585,244,0,9
06001444602,"Census Tract 4446.02, Alameda County, California",4662,126,589,104,0,15
06001450101,"Census Tract 4501.01, Alameda County, California",6163,192,511,362,39,19
06001450102,"Census Tract 4501.02, Alameda County, California",4826,408,526,332,0,233
06001450200,"Census Tract 4502, Alameda County, California",5297,162,484,423,34,0
06001450300,"Census Tract 4503, Alameda County, California",5239,344,961,125,1,57
06001450400,"Census Tract 4504, Alameda County, California",7743,206,1138,147,19,0
06001450501,"Census Tract 4505.01, Alameda County, California",3097,0,246,63,0,0
06001450502,"Census Tract 4505.02, Alameda County, California",5811,47,454,270,2,0
06001450601,"Census Tract 4506.01, Alameda County, California",3645,12,268,54,0,11
06001450603,"Census Tract 4506.03, Alameda County, California",5033,54,724,151,26,0
06001450604,"Census Tract 4506.04, Alameda County, California",5345,31,564,212,7,0
06001450605,"Census Tract 4506.05, Alameda County, California",3815,16,332,128,0,22
06001450606,"Census Tract 4506.06, Alameda County, California",6043,14,291,116,0,7
06001450607,"Census Tract 4506.07, Alameda County, California",5360,87,733,421,0,128
06001450608,"Census Tract 4506.08, Alameda County, California",4773,185,248,341,9,0
06001450609,"Census Tract 4506.09, Alameda County, California",4981,181,542,45,1,1
06001450701,"Census Tract 4507.01, Alameda County, California",8397,123,591,430,0,4
06001450741,"Census Tract 4507.41, Alameda County, California",5810,122,1447,809,1,653
06001450742,"Census Tract 4507.42, Alameda County, California",5413,35,517,128,0,49
06001450743,"Census Tract 4507.43, Alameda County, California",7056,288,672,454,136,83
06001450744,"Census Tract 4507.44, Alameda County, California",5950,24,390,250,9,8
06001450745,"Census Tract 4507.45, Alameda County, California",6493,23,484,604,0,18
06001450746,"Census Tract 4507.46, Alameda County, California",3531,30,625,67,0,0
06001450750,"Census Tract 4507.50, Alameda County, California",5933,289,500,278,25,8
06001450751,"Census Tract 4507.51, Alameda County, California",11489,292,465,109,0,0
06001450752,"Census Tract 4507.52, Alameda County, California",7625,251,665,183,0,30
06001451102,"Census Tract 4511.02, Alameda County, California",4071,25,341,136,2,64
06001451103,"Census Tract 4511.03, Alameda County, California",1717,0,113,16,0,0
06001451104,"Census Tract 4511.04, Alameda County, California",7257,102,1160,313,0,100
06001451201,"Census Tract 4512.01, Alameda County, California",7683,191,1438,452,3,230
06001451202,"Census Tract 4512.02, Alameda County, California",5230,22,806,107,4,0
06001451300,"Census Tract 4513, Alameda County, California",7013,82,2107,323,44,0
06001451401,"Census Tract 4514.01, Alameda County, California",6298,345,2019,365,0,135
06001451403,"Census Tract 4514.03, Alameda County, California",2367,18,556,91,1,44
06001451404,"Census Tract 4514.04, Alameda County, California",7204,114,3689,577,76,435
06001451501,"Census Tract 4515.01, Alameda County, California",4499,35,680,283,2,170
06001451503,"Census Tract 4515.03, Alameda County, California",6416,149,916,302,0,182
06001451504,"Census Tract 4515.04, Alameda County, California",1621,17,369,76,0,0
