GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13115000202,"Census Tract 2.02, Floyd County, Georgia",3855,0,118,395,0,4
1400000US13115000203,"Census Tract 2.03, Floyd County, Georgia",2434,85,0,67,0,0
1400000US13115000204,"Census Tract 2.04, Floyd County, Georgia",4277,380,139,454,0,0
1400000US13115000300,"Census Tract 3, Floyd County, Georgia",1097,18,17,83,2,1
1400000US13115000401,"Census Tract 4.01, Floyd County, Georgia",2768,785,415,766,399,138
1400000US13115000402,"Census Tract 4.02, Floyd County, Georgia",1656,61,0,118,19,0
1400000US13115000403,"Census Tract 4.03, Floyd County, Georgia",3699,548,1608,169,6,78
1400000US13115000500,"Census Tract 5, Floyd County, Georgia",3355,916,1093,1048,495,257
1400000US13115000600,"Census Tract 6, Floyd County, Georgia",4267,1676,253,1535,754,0
1400000US13115000700,"Census Tract 7, Floyd County, Georgia",5036,184,72,245,0,20
1400000US13115000800,"Census Tract 8, Floyd County, Georgia",4716,709,92,525,62,40
1400000US13115000900,"Census Tract 9, Floyd County, Georgia",2271,241,0,322,10,0
1400000US13115001100,"Census Tract 11, Floyd County, Georgia",2522,695,292,773,228,150
1400000US13115001200,"Census Tract 12, Floyd County, Georgia",4912,696,2642,1226,0,1116
1400000US13115001301,"Census Tract 13.01, Floyd County, Georgia",2190,271,964,737,2,534
1400000US13115001302,"Census Tract 13.02, Floyd County, Georgia",3150,471,922,797,159,208
1400000US13115001400,"Census Tract 14, Floyd County, Georgia",6779,101,290,737,0,224
1400000US13115001600,"Census Tract 16, Floyd County, Georgia",2553,1274,319,856,562,0
1400000US13115001703,"Census Tract 17.03, Floyd County, Georgia",3951,87,159,362,0,0
1400000US13115001704,"Census Tract 17.04, Floyd County, Georgia",2714,20,3,673,5,3
1400000US13115001705,"Census Tract 17.05, Floyd County, Georgia",4437,608,281,766,128,12
1400000US13115001706,"Census Tract 17.06, Floyd County, Georgia",1950,29,0,465,29,0
1400000US13115001800,"Census Tract 18, Floyd County, Georgia",5848,630,355,1407,163,198
1400000US13115002000,"Census Tract 20, Floyd County, Georgia",4402,460,59,662,0,0
1400000US13115002100,"Census Tract 21, Floyd County, Georgia",3782,1641,553,1198,777,193
1400000US13117130101,"Census Tract 1301.01, Forsyth County, Georgia",5070,124,386,106,0,0
1400000US13117130102,"Census Tract 1301.02, Forsyth County, Georgia",2267,38,14,101,0,0
1400000US13117130103,"Census Tract 1301.03, Forsyth County, Georgia",4272,8,544,431,0,22
1400000US13117130104,"Census Tract 1301.04, Forsyth County, Georgia",4180,275,230,274,0,0
1400000US13117130105,"Census Tract 1301.05, Forsyth County, Georgia",2846,85,832,639,0,393
1400000US13117130201,"Census Tract 1302.01, Forsyth County, Georgia",5589,67,336,416,0,185
1400000US13117130202,"Census Tract 1302.02, Forsyth County, Georgia",5304,66,141,41,0,8
1400000US13117130203,"Census Tract 1302.03, Forsyth County, Georgia",5515,68,518,558,0,82
1400000US13117130204,"Census Tract 1302.04, Forsyth County, Georgia",6623,57,365,250,2,18
1400000US13117130205,"Census Tract 1302.05, Forsyth County, Georgia",4561,160,527,312,0,11
1400000US13117130301,"Census Tract 1303.01, Forsyth County, Georgia",7100,48,677,222,0,122
1400000US13117130302,"Census Tract 1303.02, Forsyth County, Georgia",7972,100,486,144,0,67
1400000US13117130303,"Census Tract 1303.03, Forsyth County, Georgia",3435,15,150,79,0,0
1400000US13117130304,"Census Tract 1303.04, Forsyth County, Georgia",5066,337,290,45,0,0
1400000US13117130305,"Census Tract 1303.05, Forsyth County, Georgia",6040,125,588,95,0,0
1400000US13117130306,"Census Tract 1303.06, Forsyth County, Georgia",4802,234,284,277,0,15
1400000US13117130307,"Census Tract 1303.07, Forsyth County, Georgia",6029,483,663,273,0,0
1400000US13117130406,"Census Tract 1304.06, Forsyth County, Georgia",6886,340,1844,895,0,734
1400000US13117130409,"Census Tract 1304.09, Forsyth County, Georgia",3567,93,994,768,42,497
1400000US13117130410,"Census Tract 1304.10, Forsyth County, Georgia",7940,623,868,558,6,302
1400000US13117130411,"Census Tract 1304.11, Forsyth County, Georgia",2046,7,147,170,7,0
1400000US13117130412,"Census Tract 1304.12, Forsyth County, Georgia",3656,0,352,404,0,209
1400000US13117130413,"Census Tract 1304.13, Forsyth County, Georgia",2598,59,282,268,59,10
1400000US13117130414,"Census Tract 1304.14, Forsyth County, Georgia",4665,218,258,89,26,0
1400000US13117130415,"Census Tract 1304.15, Forsyth County, Georgia",3096,263,484,407,81,109
1400000US13117130503,"Census Tract 1305.03, Forsyth County, Georgia",3086,26,123,260,0,0
1400000US13117130504,"Census Tract 1305.04, Forsyth County, Georgia",3609,125,683,150,0,0
1400000US13117130505,"Census Tract 1305.05, Forsyth County, Georgia",2499,0,132,78,0,0
1400000US13117130506,"Census Tract 1305.06, Forsyth County, Georgia",3583,109,450,158,0,29
1400000US13117130507,"Census Tract 1305.07, Forsyth County, Georgia",2951,0,200,71,0,0
1400000US13117130508,"Census Tract 1305.08, Forsyth County, Georgia",5318,332,380,141,46,0
1400000US13117130509,"Census Tract 1305.09, Forsyth County, Georgia",4177,196,470,201,0,121
1400000US13117130511,"Census Tract 1305.11, Forsyth County, Georgia",5795,232,522,49,0,0
1400000US13117130512,"Census Tract 1305.12, Forsyth County, Georgia",3084,0,239,0,0,0
1400000US13117130601,"Census Tract 1306.01, Forsyth County, Georgia",5884,409,1126,311,0,212
1400000US13117130602,"Census Tract 1306.02, Forsyth County, Georgia",5959,87,2277,905,0,814
1400000US13117130603,"Census Tract 1306.03, Forsyth County, Georgia",8541,1040,374,203,97,3
1400000US13117130604,"Census Tract 1306.04, Forsyth County, Georgia",5150,283,304,167,0,0
1400000US13117130605,"Census Tract 1306.05, Forsyth County, Georgia",4564,100,108,221,0,27
1400000US13117130606,"Census Tract 1306.06, Forsyth County, Georgia",5590,283,914,135,7,0
1400000US13117130607,"Census Tract 1306.07, Forsyth County, Georgia",8253,79,156,247,0,29
1400000US13117130608,"Census Tract 1306.08, Forsyth County, Georgia",6210,50,257,163,0,0
